Position,Location,Salary,Gender,Education,Experience (Years),Job_skills,,,Positions,Salary,Experience,Locations
Senior Data Scientist,Ghaziabad,2014510,Female,B.Tech/B.E.,11,"['sql', 'python', 'aws', 'pyspark', 'tableau', 'power bi', 'git']",,,Senior Data Scientist,1461054.444,14,Ghaziabad
Data Engineer,New Delhi,1624349,Female,B.Tech/B.E.,24,"['sql', 'nosql', 'java', 'python', 'kafka', 'spark', 'hadoop']",,,Data Engineer,1624092.152,17,New Delhi
Senior Data Analyst,Noida,1926223,Female,BCA,25,,,,Senior Data Analyst,1408452.333,17,Noida
Machine Learning Engineer,Jalandhar,2403560,Male,NA,27,"['pytorch', 'tensorflow']",,,Machine Learning Engineer,2403560,27,Jalandhar
Data Scientist,Meerut,1128404,Male,B.A,11,"['python', 'r', 'sql', 'c', 'aws', 'gcp', 'bigquery', 'hadoop', 'scikit-learn', 'tensorflow', 'keras', 'pytorch', 'mxnet', 'matplotlib', 'seaborn', 'ggplot2', 'spark', 'tableau', 'git']",,,Data Scientist,1537349.37,16,Meerut
Data Engineer,Padampur,2090495,Female,B.Com,15,"['python', 'java', 'sql', 'snowflake', 'pyspark', 'scikit-learn']",,,Senior Data Engineer,1400090.357,17,Pune
Data Engineer,New Delhi,1399850,Male,B.Tech/B.E.,21,"['python', 'java', 'sql', 'nosql', 'mongodb', 'mongodb', 'azure', 'snowflake', 'kafka', 'spark', 'hadoop', 'docker', 'kubernetes']",,,Data Analyst,1475590.444,17,Gurugram
Senior Data Engineer,Pune,881054,Male,BCA,8,"['python', 'rust', 'c++', 'java', 'aws', 'gcp', 'azure']",,,Software Engineer,1307478.667,19,New Delhi
Senior Data Analyst,Kannur,1486474,Female,BCA,20,"['sql', 'nosql', 'python', 'tableau']",,,Business Analyst,2056298,21,Mumbai
Data Scientist,Gurugram,1981284,Female,B.Tech/B.E.,20,"['r', 'python', 'matlab', 'sql']",,,,,,
Data Scientist,Pune,694269,Male,Diploma,7,,,,,,,
Data Scientist,Hubli,2492390,Male,B.Com,24,"['python', 'sql', 'scikit-learn', 'spark', 'airflow']",,,,1461054.444,,
Data Engineer,Kolkata,582995,Female,Diploma,24,"['sql', 'nosql', 'python', 'go', 'c++', 'postgresql', 'aws', 'azure', 'airflow', 'spark', 'pytorch', 'tensorflow', 'kafka', 'kubernetes']",,,,,,
Data Scientist,New Delhi,1138897,Male,BCA,16,"['sql', 'python']",,,,,,
Data Analyst,Gurugram,1663913,Male,B.Tech/B.E.,21,"['sql', 'python', 'express']",,,,,,
Data Scientist,Prayagraj,1882207,Female,BCA,15,,,,,,,
Data Engineer,Ghaziabad,2137415,Male,B.Sc,24,"['nosql', 'sql', 'sql server', 'mysql', 'oracle', 'redshift', 'snowflake', 'azure', 'bigquery', 'aws', 'excel', 'power bi', 'tableau']",,,,,,
Data Engineer,Ranchi,1942468,Female,B.Tech/B.E.,15,"['python', 'sql', 'aws']",,,,,,
Data Scientist,Bengaluru,2377621,Female,B.Sc,19,"['python', 'sql', 'sas', 'sas', 'oracle', 'tableau']",,,,,,
Senior Data Engineer,Warangal,906029,Female,B.Com,28,"['scala', 'nosql', 'python', 'sql', 'java', 'mongo', 'shell', 'mysql', 'cassandra', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'kafka', 'angular']",,,,,,
Data Analyst,Pune,1952392,Male,B.Tech/B.E.,7,"['sql', 'javascript', 'sas', 'sas', 'excel', 'spss']",,,,,,
Data Scientist,Hyderabad,1268457,Male,B.Tech/B.E.,17,"['python', 'c++', 'pytorch', 'tensorflow', 'keras']",,,,,,
Senior Data Scientist,Gurugram,1554650,Male,B.A,26,"['sql', 'python', 'excel', 'tableau']",,,,,,
Data Engineer,Bengaluru,944251,Female,B.Sc,23,"['sql', 'sql server']",,,,,,
Data Scientist,Noida,1131786,Male,BCA,16,"['sql', 'r', 'python']",,,,,,
Data Engineer,Gurugram,1229396,Male,B.Com,20,"['python', 'sql', 'nosql', 'aws', 'gcp', 'azure', 'spark', 'hadoop', 'docker', 'terraform', 'jenkins', 'git']",,,,,,
Senior Data Engineer,Lucknow,2401878,Male,B.Tech/B.E.,20,"['sql', 'python', 'go', 'c++', 'hadoop', 'spark']",,,,,,
Senior Data Engineer,Faridabad,888627,Male,B.Com,20,"['sql', 'python', 'java', 'azure', 'databricks', 'aws', 'redshift', 'hadoop', 'spark', 'pyspark']",,,,,,
Senior Data Engineer,Guwahati,856561,Male,Diploma,25,"['sql', 'python', 'sas', 'sas', 'r', 'oracle', 'aws', 'spark', 'airflow']",,,,,,
Data Scientist,Kanpur,775746,Male,BCA,18,"['r', 'python', 'vba', 'sas', 'sas', 'sql', 'databricks', 'excel']",,,,,,
Data Analyst,Bengaluru,1655336,Male,B.Tech/B.E.,14,,,,,,,
Data Scientist,Noida,2394902,Male,B.A,19,"['sql', 'python', 'c', 'azure', 'kafka', 'jupyter']",,,,,,
Data Engineer,Diva - Maharashtra,2045340,Female,B.A,28,"['python', 'r', 'sas', 'sas', 'sql', 'postgresql', 'redshift', 'aws', 'hadoop', 'spark', 'unix', 'linux', 'terraform', 'ansible']",,,,,,
Senior Data Engineer,Gurugram,2192007,Female,B.A,14,"['python', 'sql', 'aws']",,,,,,
Data Analyst,New Delhi,2412119,Male,B.Tech/B.E.,21,"['r', 'tableau', 'spss', 'sheets', 'excel']",,,,,,
Data Engineer,Kolkata,1378477,Male,BCA,21,"['python', 'redis', 'cassandra', 'aws', 'kafka', 'hadoop', 'spark', 'kubernetes']",,,,,,
Data Scientist,Visakhapatnam,1445309,Male,B.Sc,6,"['sql', 'python', 'aws', 'pandas', 'numpy', 'scikit-learn', 'pyspark', 'tableau']",,,,,,
Data Engineer,Kolkata,2249198,Male,B.Tech/B.E.,11,"['go', 'python', 'sql', 'aws', 'pyspark']",,,,,,
